customer_state,customer_city,customer_id,customer_unique_id,customer_zip_code_prefix
AL,Igaci,bb1e941d0e011c8a1a72bb2bfceb6c61,894a22f97a7bc517f8d2c0e19ace239c,57890
BA,Santa Brigida,93034a219e57f3dbd6ad0abf8eabb313,5e77164a61e9dbe926ee2fcd302a275e,40320
BA,Santa Brigida,82500d3c1556dca1dec4cd8ff1650285,14391c381a3011bdaac2c5ab5fee642d,40015
CE,Campos Sales,9657efb78172fb7a670a4831dfe82a93,860296155b05dc70ce3737e3f3baaf8e,62400
DF,Ceilandia,0359293832be85974700b436b3ddc6ef,68ee254c5cbc9c8f62f9a656c8fbf11b,72602
GO,Alto Paraiso De Goias,d42e5bc093be3c0811a2155517721375,d01e716d3517c4e8e2adb2a211505c02,76560
MA,Lago Verde,6fc2f5ad517b6d8f74b12e58397f6615,6adb43365bd88fd6b87a63fe174f42ed,65715
MA,Sao Mateus Do Maranhao,cf77d6dc60f91af4ae0c4a5e76f57713,7ab70dec691e6ced0e10140d4668ab00,65081
MG,Belo Oriente,6e66d0911bc117a0afc6313ee9a0abe1,f3db5609a22674ff75cae17015571527,31330
MG,Belo Oriente,fa8df58dde47182121d2737ac7b8968f,6b443674142ce1d8d0d31c555c71de87,31555
MG,Caete,049393fef7b67922535cadda19054cae,b3d3b280e7cc9eb88110b820ba5fc75c,35770
MG,Cambui,bcd15e6f5399f2899de4482cf6783dae,909bd964acc70a899c3804414f5fa70d,37650
MG,Pirapora,944ad7299db6b270609f52b1114ec87b,195499d29835ec5b94af4457c1c186e9,36730
MG,Santana Da Vargem,e7aa8f71ce6a66684f90103ab313cfd1,ef6f13afb9897c1d50fa603c47749b86,38320
MG,Uberlandia,d1513d58463de6abec74693083146104,5dd47007bddc275f352f051068c5e4e3,38080
MS,Sidrolandia,0ac3d2e75de7f6c5c7db97c7ff7bda95,9773ce099955abc0b97ed596b01e5e1f,79490
MT,Alta Floresta,4243bdfc60a8e749ec908454e94d0b5d,d94320c3d899128c8374fa05c980f56b,78635
MT,Nova Ubirata,4f75e31b1c3977689e9fa85f8a7b3b05,96c54a8cc8281eb974434459804c2ea5,78370
PE,Riacho Das Almas,a23e1debf478535980a96af74a6ed699,9868122edd5d8fdfcdde577da085edf2,51030
PI,Uniao,d2f71573dd23cd9672d89d9c562cfd14,e61e5e950457148fc00a02f710163e7f,64003
RJ,Parati,f28dead4549d1753510b2f16df5724c8,1443b4d9d053e73721c7ae1f5afe5f69,25850
RJ,Sacra Familia Do Tingua,c7b4d8ce0eacbd252a006ae217b19fc0,2b7575d690a5c01e309f0a7619376b8d,20270
RJ,Sacra Familia Do Tingua,c41f490cc00d7e860ba2f20d525fca3b,45142fbd2c23b82be7e48e35ed11bdb6,22793
RJ,Sacra Familia Do Tingua,96d5f5f1a7eb5de66d26556c745015c9,b53e7da5b9aea53134b77d38460c069f,21061
RN,Patu,8d0ea3ad63466149ea6e250961697eda,326b8663c90a9035ba7e2797b161ce90,59152
RS,Cacequi,f3457b8fdac18622de498551383ae1cc,62bce9dae884ebd989f251ed2cbf677a,96570
RS,Caibate,a7c0873f1c1df80721fd9598ec7a0619,d7ffdaa5a1e54d4be5106e190599a9a4,94965
RS,Cerrito,45cd65c80f6ea79a63c4feafe0091034,6c60e666aaeca487c628c605eebcd680,95032
RS,Encruzilhada Do Sul,fb7c663bd0931abefc7a84181a9e7f24,fec38f6590f4d8e78563eacd15f0413c,95960
RS,Glorinha,f1705bc97af56d046b5cb6fc66f21c5e,96e309c9b23196ac1a299910b54b6ac8,98870
RS,Sao Lourenco Do Sul,e97b9fe83b494b6069bff28d7dd39fcb,251facf04547a85c5aa6cdf065b9b7a3,93032
