order_id,payment_sequential,payment_type,payment_installments,payment_value
e7618e05-96f0-48a6-9c2d-841a1d9d1e6c,1,credit_card,5,308.81
a174efee-3452-483d-9143-b67843ccfd54,1,credit_card,2,55.52
bf69801d-cc83-406a-8582-97aa02f6ebb4,1,credit_card,10,151.92
c78a4f27-2953-4e41-b673-abd887a6c741,1,credit_card,7,94.61
b22347db-6ad6-451a-9118-330ad3c51007,1,boleto,1,501.75
030edaaf-6984-4d5f-80f0-1f0933315f17,1,boleto,1,704.89
a8bfa3d6-368a-495b-8b3b-9b98a9386843,1,credit_card,5,42.879999999999995
63f80347-b2d4-4ab2-b6d7-1f319c2d3fc3,1,credit_card,7,331.70000000000005
d05ddd94-3fd4-4376-ba85-403ef93038d6,1,boleto,1,307.64
e9493e30-d2d5-4d44-b201-8d2395394759,1,credit_card,8,80.43
f098a03d-c0cd-4a85-8b65-f33c301d7211,1,credit_card,10,9.37
5b74d74c-de06-42a2-be6a-193b40a01c93,1,credit_card,1,498.19
50e5e98f-6f89-4463-8749-03c1349ddd34,1,credit_card,6,756.75
ef98fd44-194f-4cf1-9340-625baed49a94,1,credit_card,6,273.65
8a50b9f3-67d6-47be-8b05-904fffad4c0a,1,credit_card,4,390.16
a7e0645f-c138-4b59-88f4-9e858557ff7e,1,boleto,1,136.99
0ed646db-f780-473c-8ab9-b1a021458837,1,boleto,1,408.16999999999996
bf0be123-d5b4-4006-8a13-a1c3757d5228,1,credit_card,7,147.25
8bd3aaf3-272d-4214-a3a7-11514bc44734,1,credit_card,9,173.58
0017a5b7-dbb4-4b47-a7c8-584d94c5a661,1,credit_card,7,657.56
6039c459-d969-4a4a-a2b4-0c989b406169,1,boleto,1,114.09
45791071-e4bb-4663-a86a-73faed527152,1,credit_card,10,632.17
23458641-33a8-47d7-aac1-b84b912fb03b,1,boleto,1,90.02
00caee3b-46f9-498b-ab84-21d2cfcf5614,1,credit_card,8,206.52
1f997188-3673-4899-b015-dd43eb5a6b7f,1,boleto,1,168.99
